strain	yfp	rfp	replicate
schp677	4123	20661	1
schp678	4550	21437	1
schp675	3880	21323	1
schp676	2863	20668	1
schp687	4767	20995	1
schp688	1274	20927	1
schp679	2605	20840	1
schp680	1175	20902	1
schp681	3861	20659	1
schp683	9949	25406	1
schp684	3332	21261	1
schp685	7595	24049	1
schp686	5132	21560	1
schp689	9790	24399	1
schp690	3640	20944	1
schp677	4169	21796	2
schp678	4581	21656	2
schp674	1324	21033	2
schp675	3733	21669	2
schp676	2755	21219	2
schp687	4742	21141	2
schp688	1913	20945	2
schp679	2549	22135	2
schp680	1152	21091	2
schp681	3735	20974	2
schp683	8453	23366	2
schp684	3315	21318	2
schp685	7923	26104	2
schp686	5088	22028	2
schp689	9821	24932	2
schp690	3502	20881	2
schp677	4103	21161	3
schp678	4255	20258	3
schp675	3681	20492	3
schp676	2842	20511	3
schp687	4816	21373	3
schp688	2107	21141	3
schp679	2443	19320	3
schp680	1156	18876	3
schp681	3764	19769	3
schp683	9890	23438	3
schp684	3408	20607	3
schp685	7446	22501	3
schp686	5088	21314	3
schp689	9310	23007	3
schp690	3569	20063	3
schp677	3615	20032	4
schp678	4128	19170	4
schp674	1216	19599	4
schp675	3375	19368	4
schp676	2700	19600	4
schp687	4598	20382	4
schp688	1978	20783	4
schp679	2515	17329	4
schp680	1034	17485	4
schp681	3813	21130	4
schp683	9166	23256	4
schp684	3305	19905	4
schp685	7143	21539	4
schp686	5009	20554	4
schp689	6269	19075	4
schp690	3475	20773	4
schp677	3826	19370	5
schp675	3767	19336	5
schp676	2122	19118	5
schp687	4369	20408	5
schp688	1469	19977	5
schp680	1069	18530	5
schp681	3352	18603	5
schp684	3109	19833	5
schp685	6788	20587	5
schp686	4684	20398	5
schp689	8273	21835	5
schp690	3487	20307	5
